X,Y,Z
-38.5018,-153.9588,-23.759
-38.4627,-154.1631,-23.759
-38.4335,-154.3487,-23.759
-38.4335,-154.5343,-23.859
-38.4335,-154.7385,-23.759
-38.4432,-154.9427,-23.859
-38.4725,-155.1469,-23.859
-38.5018,-155.3326,-23.859
-38.5408,-155.5182,-23.859
-38.5994,-155.7224,-23.859
-38.658,-155.9081,-23.859
-38.7166,-156.0937,-23.859
-38.7849,-156.2794,-23.859
-38.8337,-156.4836,-23.859
-38.8923,-156.6692,-23.859
-38.9118,-156.8734,-23.859
-38.9313,-157.0591,-23.8591
-38.9216,-157.2633,-23.8591
-38.902,-157.4489,-23.9591
-38.8728,-157.6531,-23.9591
-38.8337,-157.8387,-23.9591
-38.7849,-158.0244,-23.9591
-38.7263,-158.21,-23.9591
-38.658,-158.3957,-23.9591
-38.5702,-158.5813,-23.9591
-38.4823,-158.7484,-23.9591
-38.3847,-158.9155,-23.9591
-38.2578,-159.064,-23.9591
-38.1309,-159.2125,-23.9591
-37.9942,-159.361,-23.9591
-37.8478,-159.491,-23.9591
-37.7014,-159.6023,-23.9591
-37.555,-159.7137,-23.9591
-37.389,-159.8066,-23.9591
-37.2231,-159.8994,-23.9591
-37.0571,-159.9736,-23.9591
-36.8912,-160.0665,-23.9591
-36.7252,-160.1778,-23.9591
-36.5593,-160.2707,-23.9591
-36.4129,-160.3821,-23.9591
-36.2762,-160.5306,-23.9591
-36.1591,-160.6791,-23.9591
-36.0419,-160.8276,-23.9591
-35.9443,-160.9947,-23.9591
-35.8662,-161.1618,-23.9591
-35.7881,-161.3288,-23.9591
-35.7296,-161.5145,-23.9591
-35.6808,-161.7001,-23.9591
-35.6515,-161.8858,-23.9592
-35.6222,-162.0714,-23.9592
-35.6124,-162.257,-24.0592
-35.6222,-162.4612,-24.0592
-35.6417,-162.6654,-24.0592
-35.6808,-162.8325,-24.0592
-35.7296,-163.0367,-24.0592
-35.7881,-163.2224,-24.0592
-35.7881,-163.4266,-24.0592
-35.7881,-163.6122,-24.0592
-35.7686,-163.7979,-24.0592
-35.7296,-163.9835,-24.0592
-35.6905,-164.1877,-24.0592
-35.6515,-164.3733,-24.0592
-35.632,-164.5776,-24.0592
-35.5929,-164.7818,-24.0592
-35.5636,-164.9674,-24.0592
-35.5246,-165.1716,-24.0592
-35.4953,-165.3758,-24.0592
-35.4563,-165.5615,-24.1592
-35.4172,-165.7657,-24.0593
-35.3782,-165.9513,-24.1593
-35.3391,-166.1555,-24.1593
-35.2903,-166.3597,-24.1593
-35.2415,-166.5454,-24.1593
-35.2025,-166.7496,-24.1593
-35.1439,-166.9352,-24.1593
-35.0853,-167.1394,-24.1593
-35.0365,-167.325,-24.1593
-34.9877,-167.5293,-24.1593
-34.9292,-167.7149,-24.1593
-34.8804,-167.9191,-24.1593
-34.8218,-168.1047,-24.1593
-34.773,-168.3089,-24.1593
-34.7242,-168.4946,-24.1593
-34.6656,-168.6988,-24.1593
-34.6168,-168.903,-24.1593
-34.5582,-169.0886,-24.1593
-34.5094,-169.2929,-24.1593
-34.4606,-169.4971,-24.1593
-34.4021,-169.6827,-24.1593
-34.3435,-169.8869,-24.1594
-34.2947,-170.0725,-24.2594
-34.2361,-170.2767,-24.2594
-34.1873,-170.481,-24.2594
-34.1385,-170.6852,-24.2594
-34.0799,-170.8708,-24.2594
-34.0214,-171.075,-24.2594
-33.9726,-171.2792,-24.2594
-33.914,-171.4649,-24.2594
-33.8554,-171.6691,-24.2594
-33.8066,-171.8733,-24.2594
-33.7578,-172.0775,-24.2594
-33.6992,-172.2817,-24.2594
-33.6407,-172.4859,-24.2594
-33.5919,-172.6901,-24.2594
-33.5333,-172.8757,-24.3594
-33.4747,-173.0799,-24.2594
-33.4259,-173.2841,-24.3594
-33.3674,-173.4883,-24.3594
-33.3088,-173.6926,-24.3595
-33.2307,-173.8782,-24.3595
-33.1428,-174.0824,-24.3595
-33.0647,-174.268,-24.3595
-32.9671,-174.4537,-24.3595
-32.8695,-174.6393,-24.3595
-32.7719,-174.825,-24.3595
-32.6645,-174.9921,-24.3595
-32.5474,-175.1777,-24.3595
-32.4205,-175.3262,-24.3595
-32.2838,-175.4933,-24.3595
-32.1472,-175.6418,-24.3595
-32.0007,-175.7903,-24.3595
-31.8446,-175.9203,-24.3595
-31.7079,-176.0502,-24.4595
-31.5419,-176.1616,-24.4595
-31.376,-176.2915,-24.4595
-31.2198,-176.3844,-24.4595
-31.0441,-176.4958,-24.4595
-30.8586,-176.5886,-24.4595
-30.6829,-176.6814,-24.4595
-30.4975,-176.7557,-24.4595
-30.312,-176.8299,-24.4595
-30.1363,-176.9042,-24.4595
-29.941,-176.9413,-24.4595
-29.7556,-176.997,-24.4595
-29.5701,-177.0341,-24.4595
-29.3749,-177.0713,-24.4595
-29.1796,-177.0898,-24.4595
-28.9942,-177.0898,-24.4595
-28.7989,-177.0898,-24.4595
-28.6135,-177.0898,-24.4595
-28.4182,-177.0713,-24.4595
-28.223,-177.0341,-24.4595
-28.0375,-177.0156,-24.4595
-27.8618,-176.9599,-24.4595
-27.6763,-176.9228,-24.4595
-27.4909,-176.8671,-24.4595
-27.3152,-176.8114,-24.5595
-27.1297,-176.7557,-24.4595
-26.9442,-176.7,-24.4595
-26.7588,-176.6443,-24.4595
-26.5733,-176.6072,-24.4595
-26.3878,-176.5329,-24.4595
-26.2121,-176.4772,-24.4595
-26.0169,-176.4215,-24.4595
-25.8314,-176.403,-24.4595
-25.6362,-176.3844,-24.4595
-25.4507,-176.3658,-24.4595
-25.2555,-176.3473,-24.4595
-25.0602,-176.3287,-24.4595
-24.865,-176.3102,-24.4595
-24.6795,-176.2916,-24.4595
-24.4843,-176.273,-24.4595
-24.2891,-176.2545,-24.4595
-24.0938,-176.2545,-24.4595
-23.8986,-176.2545,-24.4595
-23.7131,-176.2359,-24.4595
-23.5081,-176.2359,-24.4595
-23.3227,-176.2359,-24.4595
-23.1274,-176.2359,-24.4595
-22.9322,-176.2545,-24.4595
-22.737,-176.2359,-24.4595
